# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
    6636       74 -1.470780E-01   2.857500E-02  -1.140920E-02  3.383010E+07  -7.351800E+07  -1.564000E+07  1.803280E+07  -2.794810E+07   1.390480E+07
    2335       75 -1.426210E-01   2.747850E-02  -1.043910E-02  3.200560E+07  -8.204690E+07  -1.005340E+07 -1.416170E+07  -2.837710E+07   1.222500E+07
    5750       76 -1.392410E-01   2.504220E-02  -8.283750E-03  1.144050E+07  -6.502360E+07  -1.543920E+07 -2.121380E+07  -3.569020E+07   1.133820E+07
    5524       77 -1.376060E-01   2.174860E-02  -5.370060E-03  4.855000E+06  -4.438890E+07  -1.933930E+07 -1.694530E+07  -3.597640E+07   4.211980E+06
    2433       78 -1.380420E-01   1.825020E-02  -2.275120E-03  1.995970E+07  -2.465330E+07  -2.466650E+07 -7.450160E+06  -2.814640E+07   8.600520E+06
    2404       79 -1.404610E-01   1.523990E-02   3.880960E-04  8.130800E+06  -1.444890E+07  -3.313890E+07  5.314660E+06  -1.635630E+07   1.519090E+07
    1852       80 -1.532130E-01   1.903120E-02  -6.357300E-03 -1.971090E+08   2.250580E+07   1.198990E+07  3.810850E+07  -1.782360E+07  -1.476860E+07
    1854       81 -1.512710E-01   2.205050E-02  -9.028420E-03 -1.075540E+08  -2.884940E+07  -3.882190E+06  6.929900E+07   2.163910E+07  -4.507450E+07
    1858       82 -1.469090E-01   2.279620E-02  -9.688140E-03  2.546030E+08  -4.480640E+07   1.712510E+08  3.336050E+07   3.398070E+07  -9.727490E+07
    1867       83 -1.434110E-01   2.070680E-02  -7.839660E-03  3.989600E+08   1.452540E+08   2.095700E+08 -1.313470E+08   6.767060E+06  -5.663480E+07
    1867       84 -1.434110E-01   1.735560E-02  -4.874940E-03  4.093830E+08   2.836990E+08   2.094160E+08 -1.811760E+08  -2.086180E+07  -5.917570E+07
    1874       85 -1.469090E-01   1.526620E-02  -3.026460E-03  2.853620E+08   2.743800E+08   7.677110E+07 -1.127540E+08  -8.340990E+05   4.042630E+07
    2357       86 -1.512710E-01   1.601190E-02  -3.686180E-03 -1.375110E+07   1.175280E+08   5.054820E+07 -8.264010E+07  -1.640690E+07   8.740370E+07
    1855       87 -1.532130E-01   1.383070E-02  -1.223570E-02 -5.971790E+06   6.840410E+07   8.676910E+07 -1.103790E+07  -1.840960E+07  -4.838370E+07
    5708       88 -1.512710E-01   1.685000E-02  -1.490680E-02  1.587910E+07   3.490260E+07   1.525760E+07  2.627360E+07   2.232010E+07  -3.688860E+07
    1862       89 -1.469090E-01   1.759570E-02  -1.556650E-02 -2.103860E+07  -1.506810E+08  -5.596250E+07 -4.887670E+07   7.474120E+07   2.332500E+07
    1862       90 -1.434110E-01   1.550630E-02  -1.371810E-02 -1.393580E+07  -9.744720E+07  -2.720820E+07 -9.305370E+07   5.607530E+07   3.644840E+07
