# elem_id    node_id        X            Y            Z         Damage        N_failure
     4375        179   1.001450E-02   4.419540E-03   9.960580E-03   0.000000E+00   1.797693+308
     6523        180   7.595380E-03   1.409160E-03   1.262380E-02   0.000000E+00   1.797693+308
     6032        181   3.671900E-03  -5.169670E-04   1.432780E-02   0.000000E+00   1.797693+308
     4131        182  -9.788390E-04  -9.773420E-04   1.473510E-02   0.000000E+00   1.797693+308
     5241        183  -5.435710E-03   1.192150E-04   1.376500E-02   0.000000E+00   1.797693+308
     3608        184  -8.815970E-03   2.555520E-03   1.160960E-02   0.000000E+00   1.797693+308
     3714        185  -1.045010E-02   5.849030E-03   8.695950E-03   0.000000E+00   1.797693+308
     3824        186  -1.001450E-02   9.347420E-03   5.601000E-03   0.000000E+00   1.797693+308
     1429        187  -7.595380E-03   1.235780E-02   2.937790E-03   0.000000E+00   1.797693+308
     3919        188  -5.156200E-03   5.200480E-03   5.878400E-03   0.000000E+00   1.797693+308
     2027        189  -3.214840E-03   8.219800E-03   3.207270E-03   0.000000E+00   1.797693+308
     2027        190   1.147360E-03   8.965510E-03   2.547560E-03   0.000000E+00   1.797693+308
     2055        191   4.645580E-03   6.876080E-03   4.396040E-03   0.000000E+00   1.797693+308
     4423        192   4.645580E-03   3.524880E-03   7.360760E-03   0.000000E+00   1.797693+308
     4024        193   1.147360E-03   1.435440E-03   9.209230E-03   0.000000E+00   1.797693+308
     4024        194  -3.214840E-03   2.181150E-03   8.549520E-03   0.000000E+00   1.797693+308
     6269        195  -5.156200E-03   9.722450E-16  -1.189440E-14   0.000000E+00   1.797693+308
     6269        196  -3.214840E-03  -3.019320E-03   2.671120E-03   0.000000E+00   1.797693+308
       68        197   1.147360E-03  -3.765030E-03   3.330840E-03   0.000000E+00   1.797693+308
     4139        198   4.645580E-03  -1.675600E-03   1.482360E-03   0.000000E+00   1.797693+308
     4350        199   4.645580E-03   1.675600E-03  -1.482360E-03   0.000000E+00   1.797693+308
     4008        200   1.147360E-03   3.765030E-03  -3.330840E-03   0.000000E+00   1.797693+308
     4009        201  -3.214840E-03   3.019320E-03  -2.671120E-03   0.000000E+00   1.797693+308
     4669        202  -1.002190E-02   1.898850E-02   1.653310E-02   0.000000E+00   1.797693+308
     3948        203  -3.671900E-03   2.281460E-02   1.087650E-02   0.000000E+00   1.797693+308
     3948        204  -7.630700E-03   2.128510E-02   1.307450E-02   0.000000E+00   1.797693+308
     1750        205  -1.002190E-02   1.409460E-02   2.086270E-02   0.000000E+00   1.797693+308
     5375        206  -1.053670E-02   1.673850E-02   1.892050E-02   0.000000E+00   1.797693+308
      978        207  -3.671900E-03   8.013710E-03   2.397050E-02   0.000000E+00   1.797693+308
      978        208  -7.630480E-03   1.038190E-02   2.272010E-02   0.000000E+00   1.797693+308
      752        209   7.617530E-04   2.328840E-02   1.045730E-02   0.000000E+00   1.797693+308
     2081        210   5.057900E-03   2.234090E-02   1.129560E-02   0.000000E+00   1.797693+308
     2081        211   8.441020E-03   2.014290E-02   1.324010E-02   0.000000E+00   1.797693+308
     2110        212   1.030040E-02   1.709130E-02   1.593980E-02   0.000000E+00   1.797693+308
     2086        213   1.030040E-02   1.373700E-02   1.890720E-02   0.000000E+00   1.797693+308
     4257        214   8.441020E-03   1.068540E-02   2.160690E-02   0.000000E+00   1.797693+308
     4067        215   5.057900E-03   8.487450E-03   2.355140E-02   0.000000E+00   1.797693+308
     4067        216   7.617530E-04   7.539860E-03   2.438970E-02   0.000000E+00   1.797693+308
     2020        217  -2.235000E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     1980        218  -1.196400E-01  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3784        219  -2.721450E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3773        220  -3.207900E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3783        221  -3.694350E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3558        222  -4.180790E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3566        223  -4.667240E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3412        224  -5.153690E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3416        225  -5.640140E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3417        226  -6.126590E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3371        227  -6.613030E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3367        228  -7.099480E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3375        229  -7.585930E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3151        230  -8.072380E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3066        231  -8.558830E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3065        232  -9.045270E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3072        233  -9.531720E-02  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     2907        234  -1.001820E-01  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     5842        235  -1.050460E-01  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     2895        236  -1.099110E-01  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     2901        237  -1.147750E-01  -4.443960E-02   3.931470E-02   0.000000E+00   1.797693+308
     3964        238  -2.235000E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     1392        239  -2.235000E-02  -4.188140E-02   4.220630E-02   0.000000E+00   1.797693+308
     1396        240  -2.235000E-02  -3.932330E-02   4.509790E-02   0.000000E+00   1.797693+308
     2868        241  -1.196400E-01  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     3790        242  -2.721450E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     3789        243  -3.207900E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     3717        244  -3.694350E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     3723        245  -4.180790E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     5956        246  -4.667240E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     3498        247  -5.153690E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     3498        248  -5.640140E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     3499        249  -6.126590E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
