# elem_id    node_id        X            Y            Z         Damage        N_failure
     4714        223   4.947340E-03  -2.442410E-02   3.208650E-02   2.916455E-06   1.797693+308
      607        224   3.376590E-03  -2.625470E-02   3.370600E-02   1.000000E+00   6.521742E+03
     4885        225   7.338040E-04  -2.715860E-02   3.450570E-02   1.000000E+00   6.069531E+01
    18044        226  -2.141960E-03  -2.684890E-02   3.423170E-02   1.000000E+00   6.930097E-01
    18044        227  -4.337670E-03  -2.542390E-02   3.297110E-02   1.000000E+00   1.703276E+00
     3567        228  -5.156200E-03  -2.853650E-02   2.524560E-02   1.000000E+00   1.368490E-01
     4773        229  -4.337670E-03  -2.644870E-02   2.339850E-02   1.000000E+00   1.473159E-01
     8224        230  -2.141960E-03  -2.502370E-02   2.213780E-02   1.000000E+00   2.181407E+02
     1013        231   7.338040E-04  -2.471400E-02   2.186390E-02   1.000000E+00   1.553115E+04
     6554        232   3.376590E-03  -2.561790E-02   2.266360E-02   6.724125E-03   1.797693+308
     4871        233   4.947340E-03  -2.744850E-02   2.428310E-02   0.000000E+00   1.797693+308
      871        234   4.947340E-03  -2.962460E-02   2.620810E-02   0.000000E+00   1.797693+308
     4805        235   3.376590E-03  -3.145510E-02   2.782760E-02   1.000000E+00   1.908920E+04
     6406        236   7.338040E-04  -3.235910E-02   2.862730E-02   1.000000E+00   2.916834E+01
    10605        237  -2.141960E-03  -3.204940E-02   2.835330E-02   1.000000E+00   1.819919E-01
     3567        238  -4.337670E-03  -3.062440E-02   2.709270E-02   1.000000E+00   1.414291E-01
     7569        239  -1.002190E-02  -9.547990E-03   4.177870E-02   0.000000E+00   1.797693+308
     5063        240  -3.671900E-03  -5.721940E-03   3.612210E-02   0.000000E+00   1.797693+308
     4914        241  -9.051960E-03  -8.274340E-03   3.997680E-02   0.000000E+00   1.797693+308
     4914        242  -7.630700E-03  -7.251480E-03   3.832010E-02   0.000000E+00   1.797693+308
     8545        243  -5.815390E-03  -6.412010E-03   3.697580E-02   0.000000E+00   1.797693+308
     7514        244  -1.002190E-02  -1.444200E-02   4.610830E-02   0.000000E+00   1.797693+308
     8086        245  -1.047900E-02  -1.265170E-02   4.487680E-02   0.000000E+00   1.797693+308
     7575        246  -1.047900E-02  -1.098860E-02   4.340540E-02   0.000000E+00   1.797693+308
    17994        247  -3.671900E-03  -2.052280E-02   4.921610E-02   0.000000E+00   1.797693+308
    17994        248  -5.815260E-03  -1.959120E-02   4.863510E-02   0.000000E+00   1.797693+308
     1820        249  -7.630480E-03  -1.815460E-02   4.796570E-02   0.000000E+00   1.797693+308
     4808        250  -9.051880E-03  -1.638560E-02   4.715260E-02   0.000000E+00   1.797693+308
     8170        251  -8.484330E-04  -5.253070E-03   3.570730E-02   0.000000E+00   1.797693+308
     9056        252   2.038900E-03  -5.376550E-03   3.581650E-02   0.000000E+00   1.797693+308
     9051        253   4.772760E-03  -6.083090E-03   3.644160E-02   0.000000E+00   1.797693+308
     9322        254   7.147350E-03  -7.319500E-03   3.753540E-02   0.000000E+00   1.797693+308
     9329        255   8.983940E-03  -8.992730E-03   3.901570E-02   0.000000E+00   1.797693+308
     4917        256   1.014430E-02  -1.097680E-02   4.077090E-02   0.000000E+00   1.797693+308
     1199        257   1.054100E-02  -1.312240E-02   4.266910E-02   0.000000E+00   1.797693+308
     7588        258   1.014430E-02  -1.526800E-02   4.456720E-02   0.000000E+00   1.797693+308
     5609        259   8.983940E-03  -1.725200E-02   4.632250E-02   0.000000E+00   1.797693+308
     5609        260   7.147350E-03  -1.892530E-02   4.780280E-02   0.000000E+00   1.797693+308
      558        261   4.772760E-03  -2.016170E-02   4.889660E-02   0.000000E+00   1.797693+308
      471        262   2.038900E-03  -2.086820E-02   4.952170E-02   0.000000E+00   1.797693+308
     5065        263  -8.484330E-04  -2.099170E-02   4.963090E-02   0.000000E+00   1.797693+308
     6577        264  -8.001000E-03   5.200480E-03   5.878400E-03   0.000000E+00   1.797693+308
    11252        265  -7.460710E-03   3.035720E-03   7.793500E-03   0.000000E+00   1.797693+308
     9003        266  -5.912810E-03   1.163330E-03   9.449970E-03   0.000000E+00   1.797693+308
     5835        267  -3.566350E-03  -1.638250E-04   1.062410E-02   0.000000E+00   1.797693+308
     4806        268  -7.382390E-04  -7.665010E-04   1.115720E-02   0.000000E+00   1.797693+308
     8922        269   2.189580E-03  -5.633020E-04   1.097750E-02   0.000000E+00   1.797693+308
     8922        270   4.821680E-03   4.183260E-04   1.010910E-02   0.000000E+00   1.797693+308
    18330        271   6.802590E-03   2.045810E-03   8.669260E-03   0.000000E+00   1.797693+308
     9041        272   7.864770E-03   4.099350E-03   6.852540E-03   0.000000E+00   1.797693+308
     2207        273   7.864770E-03   6.301600E-03   4.904260E-03   0.000000E+00   1.797693+308
     5562        274   6.802590E-03   8.355140E-03   3.087540E-03   0.000000E+00   1.797693+308
    18007        275   4.821680E-03   9.982630E-03   1.647740E-03   0.000000E+00   1.797693+308
     9067        276   2.189580E-03   1.096430E-02   7.793200E-04   0.000000E+00   1.797693+308
     1953        277  -7.382390E-04   1.116750E-02   5.995550E-04   0.000000E+00   1.797693+308
     1958        278  -3.566350E-03   1.056480E-02   1.132730E-03   0.000000E+00   1.797693+308
     8304        279  -5.912810E-03   9.237630E-03   2.306830E-03   0.000000E+00   1.797693+308
    17805        280  -7.460710E-03   7.365230E-03   3.963290E-03   0.000000E+00   1.797693+308
