# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
     24.   8580. -0.138737E+00  0.201291E-01  0.754471E-02  0.426631E+08  0.374549E+08 -0.866927E+07  0.223407E+08 -0.256061E+08 -0.271149E+08
     24.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.341220E+08  0.333584E+08 -0.134994E+08  0.188779E+08 -0.299357E+08 -0.234481E+08
     24.  10334. -0.136800E+00  0.226371E-01  0.633746E-02  0.378435E+08  0.378186E+08 -0.110128E+08  0.201954E+08 -0.267985E+08 -0.255710E+08
     24.  11718. -0.137730E+00  0.184533E-01  0.596168E-02  0.381988E+08  0.324177E+08 -0.163351E+08  0.155121E+08 -0.240676E+08 -0.255954E+08
     25.   2785. -0.140297E+00  0.202021E-01  0.573373E-02  0.425175E+08  0.369350E+08  0.963389E+06  0.367035E+08 -0.359505E+08 -0.272709E+08
     25.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.312113E+08  0.347578E+08 -0.824355E+07  0.253668E+08 -0.337849E+08 -0.231108E+08
     25.   2786. -0.139060E+00  0.217690E-01  0.502794E-02  0.342532E+08  0.423121E+08  0.419961E+06  0.345092E+08 -0.375783E+08 -0.242886E+08
     25.   8580. -0.138737E+00  0.201291E-01  0.754471E-02  0.454939E+08  0.366031E+08 -0.307398E+07  0.277470E+08 -0.292227E+08 -0.276952E+08
     26.   2770. -0.137815E+00  0.230138E-01  0.191053E-02  0.922183E+07  0.293552E+08 -0.252475E+08  0.130847E+08 -0.399827E+08 -0.885877E+07
     26.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.159048E+08  0.270707E+08 -0.232640E+08  0.158225E+08 -0.375789E+08 -0.153062E+08
     26.   2771. -0.138368E+00  0.212068E-01  0.236833E-02  0.103456E+08  0.262564E+08 -0.251902E+08  0.161124E+08 -0.410722E+08 -0.102156E+08
     26.  10327. -0.136219E+00  0.212722E-01  0.112706E-02  0.102405E+08  0.180620E+08 -0.314720E+08  0.732678E+07 -0.371316E+08 -0.138697E+08
     27.   2770. -0.137815E+00  0.230138E-01  0.191053E-02  0.995690E+07  0.291117E+08 -0.254940E+08  0.114058E+08 -0.380725E+08 -0.105484E+08
     27.   8508. -0.136108E+00  0.235213E-01  0.343978E-02  0.141753E+08  0.277654E+08 -0.241644E+08  0.962154E+07 -0.320836E+08 -0.168654E+08
     27.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.163361E+08  0.279332E+08 -0.217290E+08  0.142000E+08 -0.349115E+08 -0.163387E+08
     27.  10327. -0.136219E+00  0.212722E-01  0.112706E-02  0.110777E+08  0.205602E+08 -0.295289E+08  0.664494E+07 -0.339621E+08 -0.150656E+08
     28.   2738. -0.138206E+00  0.237699E-01  0.466155E-02  0.124800E+08  0.442599E+08 -0.121125E+08  0.204185E+08 -0.379010E+08 -0.127513E+08
     28.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.179542E+08  0.330485E+08 -0.165121E+08  0.177402E+08 -0.360216E+08 -0.165499E+08
     28.   2770. -0.137815E+00  0.230138E-01  0.191053E-02  0.852923E+07  0.347576E+08 -0.225184E+08  0.146143E+08 -0.388303E+08 -0.924678E+07
     28.   8508. -0.136108E+00  0.235213E-01  0.343978E-02  0.146655E+08  0.336870E+08 -0.197709E+08  0.127819E+08 -0.328671E+08 -0.163999E+08
     29.   2738. -0.138206E+00  0.237699E-01  0.466155E-02  0.110050E+08  0.442353E+08 -0.120646E+08  0.234148E+08 -0.397710E+08 -0.106902E+08
