# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
     15.    968. -0.882936E-01 -0.258752E-01  0.568708E-01 -0.851834E+06  0.574955E+06 -0.235426E+06 -0.102934E+06  0.631776E+06 -0.109126E+06
     15.    909. -0.885906E-01 -0.284110E-01  0.626265E-01 -0.318449E+06  0.615109E+06  0.287305E+05  0.268479E+05  0.416928E+06 -0.170928E+06
     16.    369. -0.845058E-01 -0.238047E-01  0.564735E-01 -0.297075E+06  0.122825E+07 -0.108594E+07  0.531061E+05  0.635298E+06  0.315148E+06
     16.    968. -0.882936E-01 -0.258752E-01  0.568708E-01 -0.703248E+06  0.737292E+06 -0.690318E+06 -0.100327E+06  0.679852E+06  0.287931E+06
     16.    775. -0.845058E-01 -0.250367E-01  0.629066E-01  0.814674E+04  0.123269E+07 -0.782408E+06  0.109317E+06  0.121274E+06  0.409838E+03
     16.    806. -0.887871E-01 -0.219291E-01  0.626987E-01 -0.211076E+06  0.101816E+07 -0.101391E+07 -0.105721E+05  0.215648E+06 -0.499184E+05
     17.    597. -0.845058E-01 -0.288982E-01  0.579821E-01 -0.236900E+06  0.621223E+06 -0.347231E+06  0.160896E+06  0.414902E+06  0.315145E+06
     17.    775. -0.845058E-01 -0.250367E-01  0.629066E-01 -0.114840E+06  0.955541E+06 -0.572956E+06  0.549721E+05  0.306341E+06  0.349406E+05
     17.    968. -0.882936E-01 -0.258752E-01  0.568708E-01 -0.442363E+06  0.920602E+06 -0.121873E+06  0.698165E+05  0.615210E+06  0.245648E+06
     17.    909. -0.885906E-01 -0.284110E-01  0.626265E-01 -0.413824E+06  0.707252E+06 -0.283909E+04  0.153248E+06  0.479297E+06  0.112038E+05
     18.    398. -0.921258E-01 -0.236546E-01  0.590781E-01 -0.530360E+06  0.629107E+06 -0.107820E+07 -0.195750E+06  0.470324E+06 -0.246466E+06
     18.    968. -0.882936E-01 -0.258752E-01  0.568708E-01 -0.114476E+07  0.574708E+06 -0.910956E+06 -0.193533E+06  0.679220E+06 -0.658742E+05
     18.    788. -0.871680E-01 -0.181874E-01  0.593598E-01 -0.305972E+06  0.127658E+07 -0.945212E+06 -0.186162E+06  0.366262E+06  0.833660E+05
     18.    806. -0.887871E-01 -0.219291E-01  0.626987E-01 -0.172883E+06  0.104419E+07 -0.113235E+07 -0.114914E+06  0.311782E+06 -0.268874E+05
     19.    369. -0.845058E-01 -0.238047E-01  0.564735E-01 -0.168464E+06  0.121206E+07 -0.682253E+06  0.141050E+05  0.557515E+06  0.481644E+06
     19.    788. -0.871680E-01 -0.181874E-01  0.593598E-01 -0.363976E+06  0.126380E+07 -0.111675E+07 -0.868760E+05  0.462502E+06 -0.353793E+05
     19.    968. -0.882936E-01 -0.258752E-01  0.568708E-01 -0.793386E+06  0.827661E+06 -0.598231E+06 -0.105959E+06  0.673953E+06  0.292325E+06
     19.    806. -0.887871E-01 -0.219291E-01  0.626987E-01 -0.464777E+06  0.957522E+06 -0.139422E+07 -0.402180E+05  0.397786E+06 -0.159099E+06
     20.    597. -0.845058E-01 -0.288982E-01  0.579821E-01  0.435000E+06  0.417022E+06  0.548972E+06 -0.201188E+06  0.839391E+06  0.101627E+06
     20.    688. -0.889592E-01 -0.343749E-01  0.579018E-01  0.107966E+07  0.148683E+06  0.173431E+07 -0.102881E+06  0.648748E+06  0.251435E+06
     20.    968. -0.882936E-01 -0.258752E-01  0.568708E-01  0.279694E+06  0.453758E+06  0.718108E+06 -0.138097E+06  0.784923E+06  0.273936E+06
     20.    939. -0.876713E-01 -0.315284E-01  0.535738E-01  0.178750E+07 -0.846837E+05  0.907431E+06 -0.374025E+06  0.679334E+06  0.187565E+06
     21.    398. -0.921258E-01 -0.236546E-01  0.590781E-01 -0.150438E+07 -0.175291E+06 -0.165280E+07 -0.341383E+06  0.224324E+06 -0.909604E+06
     21.    968. -0.882936E-01 -0.258752E-01  0.568708E-01 -0.111201E+07  0.591061E+06  0.494635E+05 -0.219549E+06  0.687980E+06 -0.253954E+06
     21.    603. -0.921258E-01 -0.285250E-01  0.605207E-01 -0.135620E+07 -0.153498E+06 -0.999749E+06 -0.244737E+06  0.317512E+06 -0.853606E+06
     21.    664. -0.931723E-01 -0.265266E-01  0.574718E-01 -0.281561E+07 -0.100420E+07 -0.207220E+07 -0.737777E+06  0.242240E+05 -0.150226E+07
     22.    369. -0.845058E-01 -0.238047E-01  0.564735E-01 -0.216296E+06  0.789483E+06 -0.125269E+07 -0.139602E+05  0.444187E+06  0.544029E+06
     22.    968. -0.882936E-01 -0.258752E-01  0.568708E-01 -0.679772E+06  0.595338E+06 -0.688957E+06 -0.770320E+05  0.701477E+06  0.442547E+06
     22.    597. -0.845058E-01 -0.288982E-01  0.579821E-01 -0.182047E+06  0.640237E+06 -0.873251E+06  0.176733E+06  0.501021E+06  0.535821E+06
     22.    775. -0.845058E-01 -0.250367E-01  0.629066E-01  0.133733E+06  0.125315E+07 -0.665779E+06  0.991906E+05  0.222180E+06  0.114420E+06
     23.    369. -0.845058E-01 -0.238047E-01  0.564735E-01 -0.688044E+06  0.674503E+06 -0.106913E+07 -0.900794E+05  0.880580E+06  0.800179E+06
     23.    968. -0.882936E-01 -0.258752E-01  0.568708E-01 -0.118171E+07  0.547970E+06 -0.596753E+06 -0.213772E+06  0.852104E+06  0.564273E+06
     23.    788. -0.871680E-01 -0.181874E-01  0.593598E-01 -0.692780E+06  0.937367E+06 -0.826926E+06 -0.140388E+06  0.757973E+06  0.253822E+06
     23.    952. -0.888320E-01 -0.209310E-01  0.534355E-01 -0.178109E+07  0.135111E+06 -0.447620E+06 -0.462294E+06  0.106763E+07  0.100121E+07
     24.    398. -0.921258E-01 -0.236546E-01  0.590781E-01 -0.103829E+07  0.532516E+06 -0.889490E+06 -0.300229E+06  0.492507E+06 -0.343508E+06
     24.    788. -0.871680E-01 -0.181874E-01  0.593598E-01 -0.834874E+06  0.861532E+06 -0.893618E+06 -0.238193E+06  0.670660E+06  0.105765E+06
     24.    968. -0.882936E-01 -0.258752E-01  0.568708E-01 -0.138125E+07  0.533749E+06 -0.406781E+06 -0.318634E+06  0.793099E+06  0.390232E+05
     24.    952. -0.888320E-01 -0.209310E-01  0.534355E-01 -0.166407E+07  0.292405E+06 -0.152968E+05 -0.594612E+06  0.102390E+07  0.310218E+06
     25.    398. -0.921258E-01 -0.236546E-01  0.590781E-01 -0.154097E+07  0.278612E+05 -0.116403E+07 -0.460743E+06  0.315020E+06 -0.669631E+06
     25.    968. -0.882936E-01 -0.258752E-01  0.568708E-01 -0.113279E+07  0.699141E+06  0.363322E+06 -0.340700E+06  0.871428E+06  0.622469E+05
     25.    664. -0.931723E-01 -0.265266E-01  0.574718E-01 -0.260541E+07 -0.706872E+06 -0.120674E+07 -0.840411E+06  0.191984E+06 -0.110439E+07
     25.    952. -0.888320E-01 -0.209310E-01  0.534355E-01 -0.149654E+07  0.294775E+06  0.714086E+06 -0.687053E+06  0.105289E+07  0.343776E+06
     26.    597. -0.845058E-01 -0.288982E-01  0.579821E-01 -0.183865E+06  0.375594E+06 -0.322497E+06 -0.364926E+06  0.895098E+06  0.312349E+06
     26.    968. -0.882936E-01 -0.258752E-01  0.568708E-01 -0.337574E+06  0.353821E+06  0.188180E+06 -0.409380E+06  0.837832E+06  0.401069E+06
     26.    673. -0.835694E-01 -0.248016E-01  0.544206E-01 -0.499269E+06  0.255947E+04 -0.109783E+07 -0.775098E+06  0.106568E+07  0.660870E+06
     26.    939. -0.876713E-01 -0.315284E-01  0.535738E-01  0.207504E+07  0.295735E+06  0.101140E+07 -0.486662E+06  0.663608E+06  0.177976E+05
     27.    369. -0.845058E-01 -0.238047E-01  0.564735E-01 -0.838782E+06  0.897333E+05 -0.278799E+07 -0.117536E+05  0.605884E+06  0.105502E+07
     27.    968. -0.882936E-01 -0.258752E-01  0.568708E-01 -0.503558E+06  0.650636E+06 -0.225710E+06 -0.586381E+05  0.928499E+06  0.987405E+06
     27.    673. -0.835694E-01 -0.248016E-01  0.544206E-01 -0.100849E+07 -0.689881E+06 -0.365334E+07 -0.760290E+05  0.595714E+06  0.156106E+07
     27.    597. -0.845058E-01 -0.288982E-01  0.579821E-01 -0.687512E+06 -0.573511E+05 -0.205378E+07  0.147998E+06  0.518070E+06  0.931930E+06
