# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
      16.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      16.    1842. -5.966220E-02 -7.974350E-03  8.296490E-02  5.404328E+08 -7.838579E+08  1.571265E+09 -1.710857E+08  1.829307E+09 -3.744076E+07
      16.    2044. -5.766710E-02 -1.153280E-02  8.409630E-02  5.269962E+08 -8.065424E+07  1.721795E+09 -1.638824E+08  2.238401E+09 -5.681082E+07
      17.     332. -6.291580E-02 -9.508000E-03  8.005970E-02  5.418054E+08 -8.011976E+08  1.636218E+09 -1.697489E+08  1.942865E+09 -3.521947E+07
      17.     944. -6.355080E-02 -1.166840E-02  8.124150E-02  5.362238E+08 -2.228586E+08  1.778782E+09 -1.647245E+08  2.254600E+09 -4.890847E+07
      17.     951. -6.291580E-02 -1.174490E-02  8.061110E-02  5.349360E+08 -2.323707E+08  1.773971E+09 -1.645718E+08  2.251340E+09 -4.880021E+07
      17.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      18.     364. -5.656580E-02 -1.404880E-02  8.061110E-02  5.627943E+08  3.706342E+08  2.188580E+09 -1.716815E+08  2.624890E+09 -7.304708E+07
      18.     951. -6.291580E-02 -1.174490E-02  8.061110E-02  5.349360E+08 -2.323707E+08  1.773971E+09 -1.645718E+08  2.251340E+09 -4.880021E+07
      18.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      18.     983. -5.656580E-02 -1.174490E-02  8.061110E-02  5.390994E+08 -2.164939E+08  1.804718E+09 -1.696321E+08  2.257172E+09 -5.727078E+07
      19.     325. -6.355080E-02 -1.412530E-02  8.124150E-02  5.580887E+08  3.169844E+08  2.144726E+09 -1.669642E+08  2.603293E+09 -6.407219E+07
      19.     944. -6.355080E-02 -1.166840E-02  8.124150E-02  5.362238E+08 -2.228586E+08  1.778782E+09 -1.647245E+08  2.254600E+09 -4.890847E+07
      19.     646. -6.355080E-02 -1.352700E-02  8.889290E-02  5.225267E+08  2.888498E+08  1.852703E+09 -1.574306E+08  2.382795E+09 -5.760176E+07
      19.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      20.     331. -6.291580E-02 -1.404880E-02  8.061110E-02  5.585580E+08  3.247288E+08  2.154556E+09 -1.671990E+08  2.606649E+09 -6.478545E+07
      20.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      20.     364. -5.656580E-02 -1.404880E-02  8.061110E-02  5.627943E+08  3.706342E+08  2.188580E+09 -1.716815E+08  2.624890E+09 -7.304708E+07
      20.     951. -6.291580E-02 -1.174490E-02  8.061110E-02  5.349360E+08 -2.323707E+08  1.773971E+09 -1.645718E+08  2.251340E+09 -4.880021E+07
      21.     325. -6.355080E-02 -1.412530E-02  8.124150E-02  5.580887E+08  3.169844E+08  2.144726E+09 -1.669642E+08  2.603293E+09 -6.407219E+07
      21.     331. -6.291580E-02 -1.404880E-02  8.061110E-02  5.585580E+08  3.247288E+08  2.154556E+09 -1.671990E+08  2.606649E+09 -6.478545E+07
      21.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      21.    1846. -5.962220E-02 -1.734880E-02  8.286130E-02  5.947482E+08  9.005922E+08  2.654183E+09 -1.742013E+08  2.992842E+09 -8.478015E+07
      22.     325. -6.355080E-02 -1.412530E-02  8.124150E-02  5.580887E+08  3.169844E+08  2.144726E+09 -1.669642E+08  2.603293E+09 -6.407219E+07
      22.     944. -6.355080E-02 -1.166840E-02  8.124150E-02  5.362238E+08 -2.228586E+08  1.778782E+09 -1.647245E+08  2.254600E+09 -4.890847E+07
      22.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      22.     951. -6.291580E-02 -1.174490E-02  8.061110E-02  5.349360E+08 -2.323707E+08  1.773971E+09 -1.645718E+08  2.251340E+09 -4.880021E+07
      23.     325. -6.355080E-02 -1.412530E-02  8.124150E-02  5.580887E+08  3.169844E+08  2.144726E+09 -1.669642E+08  2.603293E+09 -6.407219E+07
      23.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      23.     331. -6.291580E-02 -1.404880E-02  8.061110E-02  5.585580E+08  3.247288E+08  2.154556E+09 -1.671990E+08  2.606649E+09 -6.478545E+07
      23.     951. -6.291580E-02 -1.174490E-02  8.061110E-02  5.349360E+08 -2.323707E+08  1.773971E+09 -1.645718E+08  2.251340E+09 -4.880021E+07
      24.    1277. -8.893480E-02 -1.554270E-02  1.375030E-02  1.751521E+08 -4.883454E+07  1.129275E+09 -7.001702E+07 -3.234292E+08  8.188457E+08
      24.    1325. -9.806300E-02 -1.564470E-02  1.384050E-02  4.433702E+08  1.152425E+08  8.704712E+08 -2.484424E+07 -2.207857E+08  1.190329E+09
      24.    2050. -9.134060E-02 -1.727620E-02  2.393210E-02  6.750858E+08 -1.778839E+08  1.404005E+09  1.887439E+08 -2.002871E+08  1.035172E+09
      24.    2026. -9.515930E-02 -5.576900E-03  2.293340E-02  1.274199E+09 -1.502217E+08  9.526154E+08  3.864886E+08 -1.397031E+08  9.293911E+08
      25.    1277. -8.893480E-02 -1.554270E-02  1.375030E-02  1.751521E+08 -4.883454E+07  1.129275E+09 -7.001702E+07 -3.234292E+08  8.188457E+08
      25.    1300. -9.538070E-02 -2.297150E-02  2.032230E-02  5.470127E+08 -6.404703E+07  1.260095E+09  1.477041E+08 -1.688553E+08  1.266713E+09
      25.    2050. -9.134060E-02 -1.727620E-02  2.393210E-02  6.750858E+08 -1.778839E+08  1.404005E+09  1.887439E+08 -2.002871E+08  1.035172E+09
      25.    1325. -9.806300E-02 -1.564470E-02  1.384050E-02  4.433702E+08  1.152425E+08  8.704712E+08 -2.484424E+07 -2.207857E+08  1.190329E+09
      26.    1277. -8.893480E-02 -1.554270E-02  1.375030E-02  1.751521E+08 -4.883454E+07  1.129275E+09 -7.001702E+07 -3.234292E+08  8.188457E+08
      26.    2050. -9.134060E-02 -1.727620E-02  2.393210E-02  6.750858E+08 -1.778839E+08  1.404005E+09  1.887439E+08 -2.002871E+08  1.035172E+09
      26.    1850. -8.272600E-02 -1.065210E-02  2.029200E-02  4.519278E+08 -2.359748E+08  1.344187E+09  1.735393E+07 -3.420228E+08  5.215042E+08
      26.    2026. -9.515930E-02 -5.576900E-03  2.293340E-02  1.274199E+09 -1.502217E+08  9.526154E+08  3.864886E+08 -1.397031E+08  9.293911E+08
      27.    1277. -8.893480E-02 -1.554270E-02  1.375030E-02  1.751521E+08 -4.883454E+07  1.129275E+09 -7.001702E+07 -3.234292E+08  8.188457E+08
      27.    2050. -9.134060E-02 -1.727620E-02  2.393210E-02  6.750858E+08 -1.778839E+08  1.404005E+09  1.887439E+08 -2.002871E+08  1.035172E+09
      27.    1358. -8.588620E-02 -2.336480E-02  2.067030E-02  2.835672E+08 -1.978644E+08  1.575658E+09  6.919683E+07 -2.324275E+08  7.627252E+08
      27.    1850. -8.272600E-02 -1.065210E-02  2.029200E-02  4.519278E+08 -2.359748E+08  1.344187E+09  1.735393E+07 -3.420228E+08  5.215042E+08
      28.    1277. -8.893480E-02 -1.554270E-02  1.375030E-02  1.751521E+08 -4.883454E+07  1.129275E+09 -7.001702E+07 -3.234292E+08  8.188457E+08
